ID,data_field,Data Set,data_structure,Data Type,Length
21669,Account Liquidity Deposit Identifier,Access Layer,Notice Dimension,INTEGER,0
17755,Account Market Classification Identifier,CAL170830 Logical Name,Account General Dimension,INTEGER,0
19728,Account Market Classification Identifier,Access Layer,Account General Dimension,INTEGER,0
17761,Account Open Datetime,CAL170830 Logical Name,Account General Dimension,TIMESTAMP,0
19729,Account Open Datetime,Access Layer,Account General Dimension,TIMESTAMP,0
23103,Account Open Datetime,Access Layer,TRP Liquidity Deposits Rolling 13 Month,TIMESTAMP,0
18043,Account Portion Percent,CAL170830 Logical Name,Account General x Customer Relationship Fact,DECIMAL,27
19798,Account Portion Percent,Access Layer,Account General x Customer Relationship Fact,DECIMAL,27
17262,Account Statutory Dormant Indicator,CAL170830 Logical Name,Account Liquidity Deposit Dimension,CHAR,3
19920,Account Statutory Dormant Indicator,Access Layer,Account Liquidity Deposit Dimension,CHAR,3
22417,Account Statutory Dormant Indicator,Access Layer,TDS Cash Flow Rolling 65 Day,CHAR,3
22347,Account Statutory Dormant Indicator,Access Layer,TDS Cash Flow Latest Day,CHAR,3
22988,Account Type Code,Access Layer,TDS Treasury Balance Rolling 3 Year,VARCHAR,50
22625,Account Type Identifier,Access Layer,TDS Deposits Rolling 65 Day,INTEGER,0
22489,Account Type Identifier,Access Layer,TDS Deposits Latest Day,INTEGER,0
22935,Account Type Identifier,Access Layer,TDS NSFR Rolling 65 Day,INTEGER,0
22874,Account Type Identifier,Access Layer,TDS NSFR Latest Day,INTEGER,0
23064,Account Type Identifier,Access Layer,TRP LCR Overview Rolling 13 Month,INTEGER,0
23165,Account Type Identifier,Access Layer,TRP NSFR Overview Rolling 13 Month,INTEGER,0
22805,Account Type Identifier,Access Layer,TDS LCR Rolling 65 Day,INTEGER,0
22729,Account Type Identifier,Access Layer,TDS LCR Latest Day,INTEGER,0
22418,Account Type Identifier,Access Layer,TDS Cash Flow Rolling 65 Day,INTEGER,0
22348,Account Type Identifier,Access Layer,TDS Cash Flow Latest Day,INTEGER,0
23104,Account Type Identifier,Access Layer,TRP Liquidity Deposits Rolling 13 Month,INTEGER,0
13450,ACCOUNT_BAL_EURO,SCI_PBDW 2015-09-10,SI_PBDW_BI_SCV_MERGE,,0
13451,ACCOUNT_BAL_ORIG_CURR,SCI_PBDW 2015-09-10,SI_PBDW_BI_SCV_MERGE,,0
11066,ACCOUNT_BALANCE,SCI_EQFX 2015-03-18,SI_EQFX_SCV_IDSP,,0
11021,ACCOUNT_BALANCE,SCI_EQFX 2015-03-18,SI_EQFX_SCV_EXPT,,0
10932,ACCOUNT_BALANCE,SCI_EQFX 2015-03-18,SI_EQFX_SCV_ACCT,,0
10976,ACCOUNT_BALANCE,SCI_EQFX 2015-03-18,SI_EQFX_SCV_EXCL,,0
10869,ACCOUNT_BALANCE_EURO,SCI_DGSC 2015-03-18,SI_DGSC_ACCOUNT,,0
10870,ACCOUNT_BALANCE_ORIGINAL_CUR,SCI_DGSC 2015-03-18,SI_DGSC_ACCOUNT,,0
